ID,CONT0,CAT0PR,DUM0,CONT0CATV,CONT1,CONT2,CONT3,CONT4,CONT5,CONT6,CONT7,CONT8,CONT9,DUM1,ORD0,ORD1,CAT1PR,YLC0_pot,YLC1_pot,YLC2_pot,YLC3_pot,YLC0_pot_se,YLC1_pot_se,YLC2_pot_se,YLC3_pot_se,YLC1vs0_iate,YLC2vs0_iate,YLC3vs0_iate,YLC2vs1_iate,YLC3vs1_iate,YLC3vs2_iate,YLC1vs0_iate_se,YLC2vs0_iate_se,YLC3vs0_iate_se,YLC2vs1_iate_se,YLC3vs1_iate_se,YLC3vs2_iate_se,YLC1vs0_iatemate,YLC2vs0_iatemate,YLC3vs0_iatemate,YLC2vs1_iatemate,YLC3vs1_iatemate,YLC3vs2_iatemate,YLC1vs0_iatemate_se,YLC2vs0_iatemate_se,YLC3vs0_iatemate_se,YLC2vs1_iatemate_se,YLC3vs1_iatemate_se,YLC3vs2_iatemate_se
1.0,-0.8915821300250719,59.0,1.0,-0.8886317757201432,-1.5810530321347402,0.8530685137634861,-0.26860636065037896,-1.2395605169618125,0.9736995338166632,0.3636920082204439,-0.3637623000738919,-0.3226673127025649,-0.34076897139532875,1.0,5.0,9.0,31.0,-31.165500714424066,-12.676099859745467,8.295305144828486,34.772023018705056,2.7419574323625078,1.1056675774806586,1.634730937861448,3.713420969931249,18.4894008546786,39.46080585925255,65.93752373312913,20.971405004573953,47.44812287845052,26.47671787387657,2.9564897011117672,3.1922837906566777,4.61604006273918,1.9735364276073846,3.8745317254885245,4.057319378496905,0.676149633611676,2.5333465319987707,3.2706325838496495,1.8571968983870946,2.5944829502379734,0.7372860518508788,2.745436213521652,2.79748464509068,4.352426117468465,1.3799009547509231,3.6085758151140452,3.6483310911193376
8.0,-0.9884105968810192,157.0,0.0,-0.8886317757201432,0.7603987831410479,-0.20415723908024672,-0.2835156904863581,-0.14141995612471886,1.0460043605926428,1.7588073552617978,-0.1958736564181725,0.025339986377492785,-0.15463230710650885,1.0,8.0,3.0,197.0,-30.76328215472104,-13.276248631776554,7.857962586007077,32.072077424239374,2.651907049339686,1.2288733701800651,1.8384553761094788,3.3832393321217427,17.487033522944486,38.621244740728116,62.835359578960414,21.13421121778363,45.34832605601593,24.214114838232298,2.9227967357096922,3.226845079684391,4.298711362344894,2.2113452760443257,3.599505262998415,3.8504839369047392,-0.3359421658728128,1.6694960309761884,0.14897302203273266,2.0054381968490014,0.48491518790554544,-1.5205230089434558,2.96136099326788,3.053055957660435,4.280942970697692,1.7094576097170522,3.453631039526319,3.5325711748437554
9.0,1.464137379733018,163.0,1.0,1.6635044382564037,-0.12524608995274486,-0.39129520748726576,-0.2385304183291707,-0.4372488264455894,0.2609686056675936,-0.5167375738025171,-2.6816318040722784,0.26080504403192256,-0.6662461643752011,0.0,2.0,7.0,107.0,-30.814264033791005,-12.847155935935465,7.554287376277569,31.8404711637991,2.593245328538497,1.470318727803389,1.6187722267588442,2.6987506495497526,17.96710809785554,38.36855141006858,62.65473519759011,20.401443312213033,44.68762709973457,24.286183787521534,2.9810666707264555,3.0570156780940008,3.7427498450246377,2.1868380560652323,3.073286877233329,3.147011056633103,0.1538568767886238,1.441092082814799,-0.6475968001726188,1.2872352060261751,-0.8014536769612426,-2.0886888829874177,3.0027322562577763,2.9306772675435404,3.9046569002624767,1.7017742764523087,3.0908755960513328,3.0209237319057287
10.0,0.7257172094077091,149.0,1.0,0.8851836694325024,-0.9543326508964804,0.8721088860739283,-1.4574659815237017,1.5827304618121725,-1.9009832420948616,-0.06094200795560133,2.230819294673873,0.009402201541502838,0.5157736602152075,0.0,2.0,4.0,29.0,-30.71314875119512,-14.176608563816336,3.841541213302139,29.009436546442505,2.4385180048726043,1.5692585152952734,1.348218148790002,2.5901414579042203,16.536540187378783,34.55468996449726,59.72258529763762,18.018149777118474,43.18604511025884,25.167895333140365,2.8998176404585503,2.7864066890557466,3.557415189718803,2.068880002453856,3.0284327728679936,2.9200213952436957,-1.2767110336881387,-2.4208576740404246,-2.9744855664216514,-1.1441466403522862,-1.697774532733513,-0.5536278923812268,2.8779057231452727,2.6963832210546492,3.695119187720672,1.6574153147394397,3.021663260889484,2.849313950003053
12.0,-0.1723226247665276,5.0,1.0,-0.12659999537789632,0.05015825006707305,1.0596174159271643,2.1450904273274296,-0.3221109131291142,-0.5139133514018275,1.257138237103959,1.8573421770110088,-1.1358473061972774,0.4312551254605143,1.0,8.0,1.0,157.0,-30.570030030160567,-13.571024595270806,5.881642471963245,31.268621913760924,2.7920719400035803,1.3461467026491207,1.9005037856037768,3.434887517923029,16.99900543488976,36.45167250212381,61.83865194392149,19.452667067234053,44.83964650903173,25.386979441797678,3.0996413765480124,3.3775109707075184,4.426524367823901,2.328953753114773,3.6892496806039747,3.9256040172026667,-0.8777307108679699,-0.5392717498207757,-0.9884884104398088,0.3384589610471943,-0.1107576995718389,-0.4492166606190332,3.0698990310071705,3.1364379258050206,4.432992669072025,1.7904552848586865,3.6083114151492826,3.6650885488001452
13.0,0.20851639486080284,197.0,1.0,0.179485277989533,-0.43616851297526615,0.6084447207799047,0.9357163185023024,-0.1638217402922386,-0.8374153361030743,2.851822466072495,0.7926538636264996,-0.6627669131796536,0.6201217956229,0.0,3.0,7.0,59.0,-30.91989206762375,-13.555999870744602,5.543576875554301,31.965364206601553,3.338637441515204,1.5953938169233004,1.4968700770685595,2.7866448523221843,17.36389219687915,36.46346894317805,62.8852562742253,19.0995767462989,45.521364077346156,26.421787331047252,3.7002407214888446,3.6588413457692344,4.3487802311522845,2.187670326786084,3.211023351526866,3.163227712416064,-0.387150423414214,-0.40178178330217174,0.26069056195303675,-0.014631359887957718,0.6478409853672508,0.6624723452552085,3.8276581024598997,3.6924318919347634,4.640363821319211,1.6423129320885588,3.2551674126742873,3.095028531659543
14.0,-0.838218031114777,67.0,0.0,-0.8886317757201432,-0.13465873230068034,0.0426134188771666,-0.17586402415618255,1.2985275304199573,-0.6018989414679062,1.51675921422526,0.8831490833637303,-0.3548088528948277,-1.5247650385951417,1.0,5.0,9.0,113.0,-30.652541568213792,-12.195001159955563,7.815293156789853,37.73320260268174,2.679037987620893,1.3162123058796609,1.611248127113335,3.8307956631883235,18.45754040825823,38.46783472500364,68.38574417089553,20.010294316745416,49.92820376263731,29.91790944589189,2.9849052536495795,3.126238165310192,4.674637948784727,2.080513244676727,4.050606158002963,4.15585321447097,0.6442891871913045,1.540375397749862,5.6888021616456905,0.8960862105585574,5.044512974454386,4.148426763895828,2.839740509776918,2.760183465603414,4.40598592135996,1.5586569110722956,3.771406971126974,3.711872457774855
15.0,-0.222156725411804,107.0,0.0,-0.12659999537789632,-0.10883294352762808,0.3423677350140088,-0.09291883363241947,0.7929371544133158,-0.4727806863191813,1.2469223769005089,1.0043413830178134,0.912231209583808,-2.6755206414720067,1.0,3.0,4.0,67.0,-31.074700038758287,-14.357545193860012,2.746121863548336,29.329230789757876,2.2694098632734505,1.662404744311969,1.5478770212897186,2.9538646281158023,16.717154844898275,33.820821902306626,60.40393082851617,17.103667057408348,43.68677598361789,26.58310892620954,2.813149598125518,2.7470246450586413,3.724988237398412,2.271456098397606,3.3895288426482892,3.334852247742085,-1.1181312733239326,-3.185014374466258,-2.282843484529664,-2.0668831011423254,-1.1647122112057315,0.9021708899365937,2.8726355906394887,2.6490789455456447,3.915220590895236,1.7647713976513555,3.380199861192402,3.19238705747434
16.0,0.18093282395043872,109.0,1.0,0.179485277989533,0.17002601912847448,1.230849900805261,-0.08555242684931283,-0.2596356575501407,-0.5228381531935787,0.7640495781990038,-0.07146675036620538,-0.31142799154351114,-0.3644116903428655,0.0,8.0,3.0,107.0,-29.981060045726522,-13.131947651042484,6.269230852040553,31.156309556338098,2.5688075271408146,1.3157464193935942,1.5077208424743935,2.8990472881481795,16.849112394684038,36.25029089776707,61.137369602064624,19.401178503083038,44.28825720738058,24.887078704297544,2.8861671385493897,2.978589305414058,3.8734025469107416,2.00110239092825,3.183655731869634,3.2676746040190428,-0.9641388263828867,-0.6579102811817757,-1.549404710981207,0.306228545201111,-0.5852658845983203,-0.8914944297994313,2.681042393900332,2.612329330390322,3.8429528900418846,1.4407288742796014,3.1653944578593505,3.1074102217720494
17.0,0.6896371003531626,113.0,1.0,0.8851836694325024,-1.0606874594463516,-1.289800640188728,1.1294333830786645,-1.206341923325827,-1.1301237832851654,0.5095114268753462,0.8630547362106367,-0.0809514780165052,2.0697943356968094,0.0,6.0,7.0,101.0,-30.87029390106124,-12.02241058951634,9.956558070932001,35.42556918341852,3.0572879035730267,1.5122465636141733,2.1427013230781666,2.9903769562892477,18.847883311544898,40.826851971993236,66.29586308447975,21.97896866044834,47.44797977293486,25.469011112486516,3.4108501864633145,3.7333869723422564,4.2766065596497995,2.6226053132493656,3.3510064174615697,3.6787937290131767,0.7248031195174035,3.8822197536916088,3.5793870641864185,3.1574166341742056,2.854583944669015,-0.3028326895051907,3.6678363855853147,3.499709078380675,4.320450534446977,2.374955201700725,3.472569854932854,3.294492567796284
